epoch=79, lr=1.000000e-03, train_total=0.1540459, train_mask=0.0000000, val_total=0.1634068, val_nmse=0.1634068, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=80, lr=1.000000e-03, train_total=0.1541000, train_mask=0.0000000, val_total=0.1593167, val_nmse=0.1593167, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=81, lr=1.000000e-03, train_total=0.1541571, train_mask=0.0000000, val_total=0.1599137, val_nmse=0.1599137, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=82, lr=1.000000e-03, train_total=0.1537512, train_mask=0.0000000, val_total=0.1593517, val_nmse=0.1593517, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=83, lr=1.000000e-03, train_total=0.1535375, train_mask=0.0000000, val_total=0.1610649, val_nmse=0.1610649, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=84, lr=1.000000e-03, train_total=0.1534431, train_mask=0.0000000, val_total=0.1585222, val_nmse=0.1585222, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=85, lr=1.000000e-03, train_total=0.1536284, train_mask=0.0000000, val_total=0.1606258, val_nmse=0.1606258, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=86, lr=1.000000e-03, train_total=0.1538461, train_mask=0.0000000, val_total=0.1606186, val_nmse=0.1606186, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=87, lr=1.000000e-03, train_total=0.1532507, train_mask=0.0000000, val_total=0.1599178, val_nmse=0.1599178, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=88, lr=1.000000e-03, train_total=0.1528330, train_mask=0.0000000, val_total=0.1596763, val_nmse=0.1596763, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=89, lr=1.000000e-03, train_total=0.1535417, train_mask=0.0000000, val_total=0.1598525, val_nmse=0.1598525, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=90, lr=1.000000e-03, train_total=0.1538785, train_mask=0.0000000, val_total=0.1590865, val_nmse=0.1590865, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=91, lr=1.000000e-03, train_total=0.1530840, train_mask=0.0000000, val_total=0.1602704, val_nmse=0.1602704, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
